,标题,作者,日刊,卷数,页数,DOI,出版年份,关键词,版权作者,版权作者地址,地址,供资,研究领域,WOS类别,文件类型,语言,加入号,ISSN,eISSN,IDS号,引用WOS中的参考文献,大学代码
1,"Application of nanoporous graphene membranes in natural gas processing: Molecular simulations of CH4/CO2, CH4/H2S and CH4/N-2 separation","Sun, CZ (Sun, Chengzhen)[ 1 ] ; Wen, BY (Wen, Boyao)[ 1 ] ; Bai, BF (Bai, Bofeng)[ 1 ]",CHEMICAL ENGINEERING SCIENCE,138,616-621,10.1016/j.ces.2015.08.049,DEC 22 2015,POROUS GRAPHENE; CO2/N-2 SEPARATION; HYDROGEN PURIFICATION; OXIDE MEMBRANES; CARBON-DIOXIDE; PERMEATION; DYNAMICS; PERMEABILITY; PERFORMANCE; MECHANISMS,"Bai, BF (reprint author)","Xi An Jiao Tong Univ, State Key Lab Multiphase Flow Power Engn, Xian 710049, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, State Key Lab Multiphase Flow Power Engn, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",National Natural Science Foundation of China for Distinguished Young Scientists<U+00A0> 51425603<U+00A0>;Fundamental Research Funds for the Central Universities<U+00A0> <U+00A0>;<U+00A0> 51236007<U+00A0>,Engineering,"Engineering, Chemical",Article,English,WOS:000363815400059,0009-2509,1873-4405,CU8SW,36,10698
2,A 3D finite element-based model order reduction method for parametric resonance and whirling analysis of anisotropic rotor-bearing systems,"Wang, S (Wang, Shuai)[ 1 ] ; Wang, Y (Wang, Yu)[ 1 ] ; Zi, YY (Zi, Yanyang)[ 1 ] ; He, ZJ (He, Zhengjia)[ 1 ]",JOURNAL OF SOUND AND VIBRATION,359,116-135,10.1016/j.jsv.2015.08.027,DEC 22 2015,VIBRATION ANALYSIS; ROTATING MACHINES; DYNAMIC STABILITY; ASYMMETRIC ROTORS; JEFFCOTT ROTOR; SHAFT; INSTABILITY; ASSEMBLIES; CRACK,"Zi, YY (reprint author)","Xi An Jiao Tong Univ, Sch Mech Engn, State Key Lab Mfg & Syst Engn, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Mech Engn, State Key Lab Mfg & Syst Engn, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",project of National Natural Science Foundation of China<U+00A0> 51421004<U+00A0>;National Natural Science Foundation of China<U+00A0> 51275384<U+00A0>;China Postdoctoral Science Foundation<U+00A0> 2014M560765<U+00A0>,Acoustics; Engineering; Mechanics,"Acoustics; Engineering, Mechanical; Mechanics",Article,English,WOS:000362456100009,0022-460X,1095-8568,CT0AM,31,10698
3,Numerical Simulation of Natural Convection in a Porous Cavity with Linearly Temperature Distributions Under the Local Thermal Nonequilibrium Condition,"Wu, F (Wu, Feng)[ 1 ] ; Zhou, WJ (Zhou, Wenjing)[ 2 ] ; Wang, G (Wang, Gang)[ 3 ] ; Ma, XX (Ma, Xiaoxun)[ 1 ] ; Wang, YQ (Wang, Yuqi)[ 1 ]",NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,68,1394-1415,10.1080/10407782.2015.1052316,DEC 17 2015,INTERNAL HEAT-GENERATION; BOUNDARY-CONDITIONS; RECTANGULAR ENCLOSURE; MAGNETIC-FIELD; SQUARE CAVITY; SIDE WALLS; VISCOUS DISSIPATION; ACTIVE SIDEWALLS; NANOFLUID FLOW; BOTTOM WALL,"Wu, F (reprint author)","NW Univ Xian, Sch Chem Engn, Taibai North Rd 229, Xian 710069, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwest University Xi'an","[ 1 ] NW Univ Xian, Sch Chem Engn, Xian 710069, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwest University Xi'an;[ 2 ] Xi An Jiao Tong Univ, Sch Energy & Power Engn, Minist Educ, Key Lab Thermofluid Sci & Engn, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Lanzhou Univ Technol, Sch Civil Engn, Lanzhou, Gansu, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Lanzhou University of Technology",National Science Foundation of China<U+00A0> 21476181<U+00A0>;higher school specialized research fund for doctoral program funding issue<U+00A0> 20136101120010<U+00A0>;China Postdoctoral Science Foundation funded project<U+00A0> 2013M540768<U+00A0>,Thermodynamics; Mechanics,Thermodynamics; Mechanics,Article,English,WOS:000357800400005,1040-7782,1521-0634,CM6LQ,41,10698
4,A new indentation model for sandwich circular panels with gradient metallic foam cores,"Mu, L (Mu, Lin)[ 1 ] ; Cho, CD (Cho, Chongdu)[ 2 ] ; Zhao, GP (Zhao, Guiping)[ 1 ] ; Xiao, DB (Xiao, Dengbao)[ 1 ]",COMPOSITES PART B-ENGINEERING,83,270-275,10.1016/j.compositesb.2015.08.014,DEC 15 2015,FREE-VIBRATION; ALUMINUM FOAM; BEHAVIOR; PLATES; COMPOSITE; SPHERE,"Zhao, GP (reprint author)","Xi An Jiao Tong Univ, Sch Aerosp, State Key Lab Mech Struct Strength & Vibrat, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Aerosp, State Key Lab Mech Struct Strength & Vibrat, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Inha Univ, Dept Mech Engn, Inchon 402751, South Korea <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Inha University",National Natural Science Foundation of China<U+00A0> 11372237<U+00A0>;National Basic Research Program of China<U+00A0> 2011CB610305<U+00A0>,Engineering; Materials Science,"Engineering, Multidisciplinary; Materials Science, Composites",Article,English,WOS:000363352700029,1359-8368,1879-1069,CU2KP,20,10698
5,Synthesis and characterization of gamma-Fe2O3@C nanorod-carbon sphere composite and its application as microwave absorbing material,"Wu, GL (Wu, Guanglei)[ 1 ] ; Cheng, YH (Cheng, Yonghong)[ 1 ] ; Ren, YY (Ren, Yanyan)[ 2 ] ; Wang, YQ (Wang, Yiqun)[ 3 ] ; Wang, ZD (Wang, Zhengdong)[ 1 ] ; Wu, HJ (Wu, Hongjing)[ 2 ]",JOURNAL OF ALLOYS AND COMPOUNDS,652,346-350,10.1016/j.jallcom.2015.08.236,DEC 15 2015,ELECTROMAGNETIC-WAVE ABSORPTION; ORDERED MESOPOROUS CARBON; FACILE SYNTHESIS; PERFORMANCE; NANOPARTICLES; LIGHTWEIGHT; HYBRIDS,"Cheng, YH (reprint author)","Xi An Jiao Tong Univ, CNRE, State Key Lab Elect Insulat & Power Equipment, Sch Elect Engn, Xian, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, CNRE, State Key Lab Elect Insulat & Power Equipment, Sch Elect Engn, Xian, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Northwestern Polytech Univ, Dept Appl Phys, Xian, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University;[ 3 ] Northwestern Polytech Univ, Dept Appl Chem, Xian, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University",National Science Foundation of China<U+00A0> 51407134<U+00A0>;China Postdoctoral Science Foundation<U+00A0> 2014M562412<U+00A0>;China Postdoctoral Science Special Foundation<U+00A0> 2015T81028<U+00A0>;Innovative Research Group<U+00A0> 51221005<U+00A0>,Chemistry; Materials Science; Metallurgy & Metallurgical Engineering,"Chemistry, Physical; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Article,English,WOS:000362184100048,0925-8388,1873-4669,CS6JG,26,10698
6,Paper-based sample-to-answer molecular diagnostic platform for point-of-care diagnostics,"Choi, JR (Choi, Jane Ru)[ 1,2,3 ] ; Tang, RH (Tang, Ruihua)[ 2,3,4,5 ] ; Wang, SQ (Wang, ShuQi)[ 6,7,8 ] ; Abas, WAW (Abas, Wan Abu Bakar Wan)[ 1 ] ; Pingguan-Murphy, B (Pingguan-Murphy, Belinda)[ 1 ] ; Xu, F (Xu, Feng)[ 2,3 ]",BIOSENSORS & BIOELECTRONICS,74,427-439,10.1016/j.bios.2015.06.065,DEC 15 2015,MEDIATED ISOTHERMAL AMPLIFICATION; LATERAL FLOW DIPSTICK; NUCLEIC-ACID AMPLIFICATION; REAL-TIME PCR; RECOMBINASE POLYMERASE AMPLIFICATION; MICROFLUIDIC DEVICES; SENSITIVE DETECTION; DNA EXTRACTION; FTA CARDS; LOW-COST,"Pingguan-Murphy, B (reprint author)","Xi An Jiao Tong Univ, BEBC, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Univ Malaya, Fac Engn, Dept Biomed Engn, Kuala Lumpur 50603, Malaysia <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Universiti Malaya;[ 2 ] Xi An Jiao Tong Univ, BEBC, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Xi An Jiao Tong Univ, Sch Life Sci & Technol, Minist Educ, Key Lib Biomed Informat Engn, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 4 ] Northwestern Polytech Univ, Sch Life Sci, Xian 710072, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University;[ 5 ] Northwestern Polytech Univ, Key Lab Space Biosci & Biotechnol, Xian 710072, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University;[ 6 ] Zhejiang Univ, Coll Med, Affiliated Hosp 1, State Key Lab Diag & Treatment Infect Dis, Hangzhou 310003, Zhejiang, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Zhejiang University;[ 7 ] Collaborat Innovat Ctr Diag & Treatment Infect Di, Hangzhou, Zhejiang, Peoples R China;[ 8 ] Zhejiang Univ, Inst Translat Med, Hangzhou 310003, Zhejiang, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Zhejiang University","Major International Joint Research Program of China<U+00A0> 11120101002<U+00A0>;Chinese Ministry of Education<U+00A0> 313045<U+00A0>;International Science 82 Technology Cooperation Program of China<U+00A0> 2013DFG02930<U+00A0>;Ministry of Higher Education (MOHE), Government of Malaysia<U+00A0> UM.C/HIR/MOHE/ENG/44<U+00A0>;China Young 1000-Talent Program<U+00A0> <U+00A0>;Program for New Century Excellent Talents in University<U+00A0> NCET-12-0437<U+00A0>",Biophysics; Biotechnology & Applied Microbiology; Chemistry; Electrochemistry; Science & Technology - Other Topics,"Biophysics; Biotechnology & Applied Microbiology; Chemistry, Analytical; Electrochemistry; Nanoscience & Nanotechnology",Review,English,WOS:000360772800059,0956-5663,1873-4235,CQ7HE,127,10698
7,Constructing heterostructure on highly roughened caterpillar-like gold nanotubes with cuprous oxide grains for ultrasensitive and stable nonenzymatic glucose sensor,"Chen, AR (Chen, Anran)[ 1 ] ; Ding, Y (Ding, Yu)[ 1 ] ; Yang, ZM (Yang, Zhimao)[ 1,2 ] ; Yang, SC (Yang, Shengchun)[ 1,2 ]",BIOSENSORS & BIOELECTRONICS,74,967-973,10.1016/j.bios.2015.07.074,DEC 15 2015,REDUCED GRAPHENE OXIDE; ELECTROCHEMICAL SENSORS; ASSISTED SYNTHESIS; HYDROGEN-PEROXIDE; COPPER ELECTRODES; FACILE SYNTHESIS; BIOSENSOR; NANOPARTICLES; NANOCOMPOSITES; NANOWIRES,"Yang, SC (reprint author)","Xi An Jiao Tong Univ, Sch Sci, 28 Xianning Xilu, Xian 710049, Shannxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, State Key Lab Mech Behav Mat, MOE Key Lab Nonequilibrium Synth & Modulat Conden, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Xi An Jiao Tong Univ, Suzhou Acad, Collaborat Innovat Ctr Suzhou Nano Sci & Technol, Suzhou 215000, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",National Natural Science Foundation of China<U+00A0> 51271135<U+00A0>;Program for New Century Excellent Talents in University<U+00A0> NCET-12-0455<U+00A0>;Fundamental Research Funds for the Central Universities<U+00A0> <U+00A0>;Natural Science Foundation of Shanxi Province<U+00A0> <U+00A0>;Innovative Team of Shanxi Province<U+00A0> 2015JM5166<U+00A0> 2013KCT-05<U+00A0>,Biophysics; Biotechnology & Applied Microbiology; Chemistry; Electrochemistry; Science & Technology - Other Topics,"Biophysics; Biotechnology & Applied Microbiology; Chemistry, Analytical; Electrochemistry; Nanoscience & Nanotechnology",Article,English,WOS:000360772800130,0956-5663,1873-4235,CQ7HE,54,10698
8,Heat transfer and flow analysis of nanofluid flow between parallel plates in presence of variable magnetic field using HPM,"Hatami, M (Hatami, M.)[ 1 ] ; Jing, DW (Jing, Dengwei)[ 2 ] ; Song, DX (Song, Dongxing)[ 2 ] ; Sheikholeslami, M (Sheikholeslami, M.)[ 3 ] ; Ganji, DD (Ganji, D. D.)[ 3 ]",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,396,275-282,10.1016/j.jmmm.2015.08.043,DEC 15 2015,NON-NEWTONIAN NANOFLUID; HOMOTOPY PERTURBATION METHOD; BOUNDARY-LAYER-FLOW; SQUEEZING FLOW; STRETCHING SHEET; POROUS CHANNEL; MASS-TRANSFER; MHD; DISKS; MEDIA,"Hatami, M (reprint author)","Esfarayen Univ Technol, Dept Mech Engn, Esfarayen, North Khorasan, Iran.","[ 1 ] Esfarayen Univ Technol, Dept Mech Engn, Esfarayen, North Khorasan, Iran;[ 2 ] Xi An Jiao Tong Univ, State Key Lab Multiphase Flow Power Engn, Int Res Ctr Renewable Energy, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Babol Univ Technol, Dept Mech Engn, Bobol, Iran",NA,Materials Science; Physics,"Materials Science, Multidisciplinary; Physics, Condensed Matter",Article,English,WOS:000360652700043,0304-8853,1873-4766,CQ5NT,30,10698
9,A generalized symbolic Thomas algorithm for the solution of opposite-bordered tridiagonal linear systems,"Jia, JT (Jia, Jiteng)[ 1 ] ; Sogabe, T (Sogabe, Tomohiro)[ 2 ] ; Li, SM (Li, Sumei)[ 1 ]",JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,290,423-432,10.1016/j.cam.2015.05.026,DEC 15 2015,MATRICES; INVERSION; EQUATIONS,"Jia, JT (reprint author)","Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Aichi Prefectural Univ, Grad Sch Informat Sci & Technol, Nagakute, Aichi 4801198, Japan",NA,Mathematics,"Mathematics, Applied",Article,English,WOS:000359167100032,0377-0427,1879-1778,CO4YP,24,10698
10,"Dielectric property, electric breakdown, and discharged energy density of a poly(vinylidene fluoride-co-chlorotrifluoroethylene) copolymer with low temperature processing","Xia, WM (Xia, Weimin)[ 1,2 ] ; Liang, F (Liang, Fan)[ 1 ] ; Xing, JH (Xing, Junhong)[ 1 ] ; Xu, Z (Xu, Zhuo)[ 2 ]",JOURNAL OF APPLIED POLYMER SCIENCE,132,null,10.1002/APP.42794,DEC 10 2015,VDF/TRFE/CTFE TERPOLYMERS; FERROELECTRIC POLYMERS; FLUORIDE); BEHAVIOR; PHASE; FLUOROPOLYMERS; CAPACITORS; STORAGE,"Xia, WM (reprint author)","Xian Univ Technol, Inst Printing & Packaging Engn, Xian 710048, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Xi'an University of Technology","[ 1 ] Xian Univ Technol, Inst Printing & Packaging Engn, Xian 710048, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Xi'an University of Technology;[ 2 ] Xi An Jiao Tong Univ, Elect Mat Res Lab, Key Lab, Minist Educ, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",National Natural Science Foundation of China<U+00A0> 51103115<U+00A0>;Nature Science Foundation of Shaanxi Provincial Education Office<U+00A0> 2015JM5155<U+00A0>,Polymer Science,Polymer Science,Article,English,WOS:000361039900018,0021-8995,1097-4628,CR0UY,39,10698
11,Plane deformation of circular inhomogeneous inclusion problems with non-uniform symmetrical dilatational eigenstrain,"Ma, LF (Ma, Lifeng)[ 1 ] ; Wang, B (Wang, Biao)[ 1 ] ; Korsunsky, AM (Korsunsky, Alexander M.)[ 2 ]",MATERIALS & DESIGN,86,809-817,10.1016/j.matdes.2015.07.160,DEC 5 2015,ELLIPSOIDAL INCLUSION; ELASTIC FIELD; PIEZOELECTRIC INCLUSIONS; ORTHOTROPIC MEDIA; ESHELBYS PROBLEM; STRESS-FIELD; STRAIN; DIFFRACTION; PRINCIPLE; REGION,"Ma, LF (reprint author)","Xi An Jiao Tong Univ, Dept Engn Mech, S&V Lab, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Dept Engn Mech, S&V Lab, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Univ Oxford, Dept Engn Sci, Oxford OX1 3PJ, England <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>University of Oxford",NA,Materials Science,"Materials Science, Multidisciplinary",Article,English,WOS:000362862700102,0261-3069,1873-4197,CT5PO,38,10698
12,Subcritical space nuclear system without most movable control systems,"Wang, SB (Wang, Sanbing)[ 1,2 ] ; He, CH (He, Chaohui)[ 1 ]",JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,52,1504-1511,10.1080/00223131.2015.1015466,DEC 2 2015,ACCELERATOR-DRIVEN SYSTEMS; REACTOR; FUEL,"He, CH (reprint author)","Xi An Jiao Tong Univ, Sch Nucl Sci & Technol, Xian 710049, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Nucl Sci & Technol, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] China Acad Engn Phys, Key Lab Neutron Phys, Mianyang 621900, Sichuan, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Chinese Academy of Engineering Physics",NA,Nuclear Science & Technology,Nuclear Science & Technology,Article,English,WOS:000362845300006,0022-3131,1881-1248,CT5JM,24,10698
13,A class of abstract fractional relaxation equations,"Mei, ZD (Mei, Zhan-Dong)[ 1 ] ; Peng, JG (Peng, Ji-Gen)[ 1 ]",APPLICABLE ANALYSIS,94,2397-2417,10.1080/00036811.2014.986653,DEC 2 2015,DIFFERENTIAL-EQUATIONS; FUNCTION E-ALPHA(X); DIFFUSION; BOUNDARY,"Mei, ZD (reprint author)","Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",Natural Science Foundation of China<U+00A0> 11301412<U+00A0> 11131006<U+00A0>;Research Fund for the Doctoral Program of Higher Education of China<U+00A0> 20130201120053<U+00A0>;Shaanxi Province Natural Science Foundation of China<U+00A0> 2014JQ1017<U+00A0>;China Postdoctoral Science Foundation<U+00A0> 2014M550482<U+00A0>;Fundamental Research Funds for the Central Universities<U+00A0> 2012jdhz52<U+00A0>,Mathematics,"Mathematics, Applied",Article,English,WOS:000361697900001,0003-6811,1563-504X,CR9SV,30,10698
14,A posteriori error analysis in radiative transfer,"Han, WM (Han, Weimin)[ 1,2,3 ]",APPLICABLE ANALYSIS,94,2517-2534,10.1080/00036811.2014.992423,DEC 2 2015,TOMOGRAPHY; EQUATION,"Han, WM (reprint author)","Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Univ Iowa, Dept Math, Iowa City, IA 52242 USA <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>University of Iowa;[ 3 ] Univ Iowa, Program Appl Math & Computat Sci, Iowa City, IA 52242 USA <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>University of Iowa",Simons Foundation<U+00A0> <U+00A0>,Mathematics,"Mathematics, Applied",Article,English,WOS:000361697900006,0003-6811,1563-504X,CR9SV,27,10698
15,Multi-view multi-sparsity kernel reconstruction for multi-class image classification,"Zhu, XF (Zhu, Xiaofeng)[ 1,2 ] ; Xie, Q (Xie, Qing)[ 3 ] ; Zhu, YH (Zhu, Yonghua)[ 4 ] ; Liu, XY (Liu, Xingyi)[ 5 ] ; Zhang, SC (Zhang, Shichao)[ 2 ]",NEUROCOMPUTING,169,43-49,10.1016/j.neucom.2014.08.106,DEC 2 2015,REGRESSION,"Zhang, SC (reprint author)","Guangxi Normal Univ, Guangxi Key Lab Multisource Informat Min & Secur, Guilin, Guangxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Guangxi Normal University","[ 1 ] Xi An Jiao Tong Univ, Sch Math & Stat, Xian, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Guangxi Normal Univ, Guangxi Key Lab Multisource Informat Min & Secur, Guilin, Guangxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Guangxi Normal University;[ 3 ] KAUST, Div CEMSE, Jeddah, Saudi Arabia <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>King Abdullah University of Science & Technology;[ 4 ] Guangxi Univ, Sch Comp Elect & Informat, Guilin, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Guangxi University;[ 5 ] Qinzhou Inst Socialism, Qinzhou, Guangxi, Peoples R China",NA,Computer Science,"Computer Science, Artificial Intelligence",Article,English,WOS:000359170300006,0925-2312,1872-8286,CO4ZV,43,10698
16,Image classification based on low-rank matrix recovery and Naive Bayes collaborative representation,"Zhang, X (Zhang, Xu)[ 1,3 ] ; Hao, SJ (Hao, Shijie)[ 1 ] ; Xu, CY (Xu, Chenyang)[ 2 ] ; Qian, XM (Qian, Xueming)[ 2 ] ; Wang, M (Wang, Meng)[ 1 ] ; Jiang, JG (Jiang, Jianguo)[ 1 ]",NEUROCOMPUTING,169,110-118,10.1016/j.neucom.2015.01.085,DEC 2 2015,PRINCIPAL COMPONENT ANALYSIS; SPARSE REPRESENTATION; FACE RECOGNITION,"Wang, M (reprint author)","Hefei Univ Technol, Sch Comp & Informat, Hefei, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Hefei University of Technology","[ 1 ] Hefei Univ Technol, Sch Comp & Informat, Hefei, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Hefei University of Technology;[ 2 ] Xi An Jiao Tong Univ, Sch Elect & Informat Engn, Xian, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] PLA, Army Officer Acad, Comp Teaching & Res Sect, Hefei, Peoples R China",NA,Computer Science,"Computer Science, Artificial Intelligence",Article,English,WOS:000359170300013,0925-2312,1872-8286,CO4ZV,41,10698
